home_team,removed_player,predicted_player,season
MIL,Craig Smith,Craig Smith,2007
ATL,Lorenzen Wright,Lorenzen Wright,2007
CHA,Ben Gordon,Ben Gordon,2007
BOS,Gerald Green,Gerald Green,2007
PHI,Juan Dixon,Juan Dixon,2007
LAC,Jordan Farmar,Jordan Farmar,2007
NJN,Renaldo Balkman,Renaldo Balkman,2007
DET,Stephen Jackson,Stephen Jackson,2007
MIL,Ricky Davis,Ricky Davis,2007
MEM,Shaquille O'Neal,Shaquille O'Neal,2007
NJN,Steve Francis,Steve Francis,2007
LAC,Shammond Williams,Shammond Williams,2007
DET,Stephen Jackson,Stephen Jackson,2007
IND,Shaun Livingston,Shaun Livingston,2007
ORL,Steve Nash,Steve Nash,2007
TOR,Gilbert Arenas,Gilbert Arenas,2007
NJN,Stephon Marbury,Stephon Marbury,2007
MEM,Udonis Haslem,Udonis Haslem,2007
MIA,Charlie Villanueva,Charlie Villanueva,2007
CHA,P.J. Brown,P.J. Brown,2007
ATL,Josh Smith,Josh Smith,2007
TOR,Caron Butler,Caron Butler,2007
MEM,Dwyane Wade,Dwyane Wade,2007
LAL,Damon Stoudamire,Damon Stoudamire,2007
SAS,Carlos Boozer,Carlos Boozer,2007
NYK,Dwight Howard,Dwight Howard,2007
MEM,Antoine Walker,Antoine Walker,2007
DAL,J.R. Smith,J.R. Smith,2007
LAC,Maurice Evans,Maurice Evans,2007
TOR,Antawn Jamison,Antawn Jamison,2007
GSW,Juwan Howard,Juwan Howard,2007
MIA,Charlie Bell,Charlie Bell,2007
NYK,Carlos Arroyo,Carlos Arroyo,2007
DET,Baron Davis,Baron Davis,2007
LAC,Kobe Bryant,Kobe Bryant,2007
NJN,Eddy Curry,Eddy Curry,2007
SAC,Anthony Parker,Anthony Parker,2007
DAL,Marcus Camby,Marcus Camby,2007
PHO,Francisco Garcia,Francisco Garcia,2007
SAS,Gordan Giricek,Gordan Giricek,2007
POR,Brent Barry,Brent Barry,2007
CHO,Zydrunas Ilgauskas,Zydrunas Ilgauskas,2007
LAL,Mike Miller,Mike Miller,2007
SAS,Matt Harpring,Matt Harpring,2007
CHA,P.J. Brown,P.J. Brown,2007
OKC,Samuel Dalembert,Samuel Dalembert,2007
CHA,Luol Deng,Luol Deng,2007
BOS,Rajon Rondo,Rajon Rondo,2007
NJN,Nate Robinson,Nate Robinson,2007
CHA,Mike Sweetney,Mike Sweetney,2007
IND,Sam Cassell,Sam Cassell,2007
MIA,David Noel,David Noel,2007
POR,Manu Ginobili,Manu Ginobili,2007
NJN,Jared Jeffries,Jared Jeffries,2007
LAC,Smush Parker,Smush Parker,2007
CHA,Luol Deng,Luol Deng,2007
PHO,Ronnie Price,Ronnie Price,2007
GSW,Luther Head,Luther Head,2007
PHI,Martell Webster,Martell Webster,2007
DET,Matt Barnes,Matt Barnes,2007
MIL,Randy Foye,Randy Foye,2007
MIL,Trenton Hassell,Trenton Hassell,2007
CHA,Chris Duhon,Chris Duhon,2007
CHO,Eric Snow,Eric Snow,2007
NJN,Stephon Marbury,Stephon Marbury,2007
NJN,Quentin Richardson,Quentin Richardson,2007
MEM,Michael Doleac,Michael Doleac,2007
SAS,Paul Millsap,Paul Millsap,2007
DAL,Yakhouba Diawara,Yakhouba Diawara,2007
LAL,Stromile Swift,Stromile Swift,2007
HOU,Troy Murphy,Troy Murphy,2007
MIA,Charlie Bell,Charlie Bell,2007
DEN,Chris Webber,Chris Webber,2007
SAS,Matt Harpring,Matt Harpring,2007
PHI,LaMarcus Aldridge,LaMarcus Aldridge,2007
SAS,Deron Williams,Deron Williams,2007
MIA,Charlie Bell,Charlie Bell,2007
DET,Mickael Pietrus,Mickael Pietrus,2007
DAL,Jamal Sampson,Jamal Sampson,2007
BOS,Sebastian Telfair,Sebastian Telfair,2007
DAL,Earl Boykins,Earl Boykins,2007
DET,Matt Barnes,Matt Barnes,2007
GSW,Chuck Hayes,Chuck Hayes,2007
DET,Mickael Pietrus,Mickael Pietrus,2007
HOU,Danny Granger,Danny Granger,2007
DET,Andris Biedrins,Andris Biedrins,2007
NJN,David Lee,David Lee,2007
ORL,Amar'e Stoudemire,Amar'e Stoudemire,2007
GSW,Jake Tsakalidis,Jake Tsakalidis,2007
DEN,Carlos Delfino,Carlos Delfino,2007
MIA,Brian Skinner,Brian Skinner,2007
DAL,Allen Iverson,Allen Iverson,2007
CHA,Ben Gordon,Ben Gordon,2007
TOR,Antawn Jamison,Antawn Jamison,2007
DEN,Antonio McDyess,Antonio McDyess,2007
CHO,Damon Jones,Damon Jones,2007
DAL,Allen Iverson,Allen Iverson,2007
PHI,Ime Udoka,Ime Udoka,2007
CHO,Anderson Varejao,Anderson Varejao,2007
MEM,Antoine Walker,Antoine Walker,2007
ORL,Steve Nash,Steve Nash,2008
IND,Tim Thomas,Tim Thomas,2008
PHI,Steve Blake,Steve Blake,2008
LAL,Mike Miller,Mike Miller,2008
SAC,Rasho Nesterovic,Rasho Nesterovic,2008
MIL,Rashad McCants,Rashad McCants,2008
PHO,Francisco Garcia,Francisco Garcia,2008
GSW,Tracy McGrady,Tracy McGrady,2008
LAL,Rudy Gay,Rudy Gay,2008
POR,Tony Parker,Tony Parker,2008
SAS,Paul Millsap,Paul Millsap,2008
DET,Monta Ellis,Monta Ellis,2008
POR,Michael Finley,Michael Finley,2008
ATL,Mike Bibby,Mike Bibby,2008
ATL,Josh Smith,Josh Smith,2008
CLE,Josh Howard,Josh Howard,2008
PHI,Steve Blake,Steve Blake,2008
GSW,Tracy McGrady,Tracy McGrady,2008
PHO,Mikki Moore,Mikki Moore,2008
SAC,Chris Bosh,Chris Bosh,2008
MEM,Joel Anthony,Joel Anthony,2008
ORL,Grant Hill,Grant Hill,2008
TOR,Oleksiy Pecherov,Oleksiy Pecherov,2008
PHI,LaMarcus Aldridge,LaMarcus Aldridge,2008
DEN,Lindsey Hunter,Lindsey Hunter,2008
