season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,removed_player
2007,LAL,PHO,8,Lamar Odom,?,Maurice Evans,Ronny Turiaf,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Luke Walton
2007,LAL,PHO,10,Lamar Odom,?,Maurice Evans,Ronny Turiaf,Smush Parker,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Luke Walton
2007,LAL,PHO,12,Brian Cook,?,Sasha Vujacic,Smush Parker,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Maurice Evans
2007,LAL,PHO,13,Brian Cook,?,Lamar Odom,Sasha Vujacic,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Jordan Farmar
2007,LAL,PHO,16,Brian Cook,?,Lamar Odom,Sasha Vujacic,Vladimir Radmanovic,Boris Diaw,James Jones,Marcus Banks,Shawn Marion,Steve Nash,Jordan Farmar
2007,LAL,PHO,18,Brian Cook,?,Sasha Vujacic,Smush Parker,Vladimir Radmanovic,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Lamar Odom
2007,LAL,PHO,22,Andrew Bynum,?,Maurice Evans,Sasha Vujacic,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Lamar Odom
2007,LAL,PHO,24,Andrew Bynum,?,Luke Walton,Maurice Evans,Smush Parker,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Lamar Odom
2007,LAL,PHO,25,Andrew Bynum,?,Luke Walton,Maurice Evans,Smush Parker,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Lamar Odom
2007,LAL,PHO,31,Andrew Bynum,?,Luke Walton,Maurice Evans,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Lamar Odom
2007,LAL,PHO,33,Andrew Bynum,?,Luke Walton,Maurice Evans,Smush Parker,Boris Diaw,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Lamar Odom
2007,LAL,PHO,36,Jordan Farmar,?,Luke Walton,Maurice Evans,Vladimir Radmanovic,Boris Diaw,Kurt Thomas,Leandro Barbosa,Marcus Banks,Raja Bell,Lamar Odom
2007,LAL,PHO,37,Brian Cook,?,Lamar Odom,Sasha Vujacic,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Jordan Farmar
